id 1,name 1,id 2,name 2,short_lyric 1,lyric 1,lyric 2
61822,GÀ TRỐNG,54230,gà trống gọi bé,CÓ AI THẤY CON GÀ MÁI CON GÀ MÁI KIẾM THÓC NƠI ĐÂU...,"",Ò Ó O Ò Ó O TIẾNG CHÚ GÀ TRỐNG GỌI Ò Ó O Ò Ó O BÉ THỨC DẬY ĐI RỬA MẶT THÔI Ò Ó O Ò Ó O NẮNG ĐÃ BỪNG SÁNG RỒI LÀ LÁ LA LÀ LÁ LA BÉ ĐẾN TRƯỜNG GẶP BẠN VÀ CÔ Ò Ó O Ò Ó O TIẾNG CHÚ GÀ TRỐNG GỌI Ò Ó O Ò Ó O BÉ THỨC DẬY ĐI RỬA MẶT THÔI Ò Ó O Ò Ó O NẮNG ĐÃ BỪNG SÁNG RỒI LÀ LÁ LA LÀ LÁ LA BÉ ĐẾN TRƯỜNG GẶP BẠN VÀ CÔ Ò Ó O Ò Ó O TIẾNG CHÚ GÀ TRỐNG GỌI Ò Ó O Ò Ó O BÉ THỨC DẬY ĐI RỬA MẶT THÔI Ò Ó O Ò Ó O NẮNG ĐÃ BỪNG SÁNG RỒI LÀ LÁ LA LÀ LÁ LA BÉ ĐẾN TRƯỜNG GẶP BẠN VÀ CÔ.
66526,TƯƠNG TƯ,57963,tương tư,BÂY GIỜ EM ĐÃ ĐI XA TÌNH XƯA TRĂNG ÚA LỆ NHÒA GỐI CHĂN...,"","TÔI ĐƯA TAY LÊN NHẸ VUỐT TÓC EM, ĐÔI MÔI BUÔNG LƠI TÌM LÀN HƠI ẤM. HÀNH TRÌNH NHẸ NHÀNG CỦA ĐÔI BÀN TAY ĐƯA NHAU VÀO TRONG CÕI TÌNH. HÔM QUA XA EM TÔI RẤT NHỚ EM, ĐÊM NAY BÊN EM TẠI SAO VẪN NHỚ. BỞI VÌ NỤ CƯỜI LÀM TÔI ĐẢO ĐIÊN VÀ TÔI ĐÃ QUÁ YÊU EM. EM ĐÃ ĐẾN CHO TÔI RẤT VUI, MAI LẠI ĐI CHO TÔI NỖI BUỒN. SUỐT ĐỜI TÔI SẼ CHẲNG HẾT YÊU NGƯỜI ĐÂU. ĐÊM LẠI ĐẾN TÔI MƠ THẤY EM, BỖNG HỜN GHEN KHI TÔI BIẾT RẰNG TRONG CUỘC VUI EM ĐÂU CÓ YÊU TÔI THẬT LÒNG."
64147,RỪNG CHƯA THAY LÁ,54326,rừng cây trút lá,ANH ĐI RỪNG CHƯA THAY LÁ EM VỀ RỪNG LÁ THAY CHƯA...,"","TỪNG BƯỚC CHÂN EM, TỪNG BƯỚC CHÂN ANH. VÀ NẮNG TRÊN MÔI VÀ NẮNG TRONG TÔI. DÌU NHAU ĐI TỚI CÕI ĐỜI TA YÊU DẤU.. TỪNG BƯỚC CHÂN EM, TỪNG BƯỚC CHÂN ANH. VÀ NẮNG TRÊN CAO VÀ GIÓ XÔN XAO. DÌU NHAU TA BƯỚC RA CUỘC SỐNG THƯƠNG ĐAU.. TỪNG ĐÓA MÔI HÔN, TỪNG NHÁNH TAY SON, RỪNG BƯỚC CHÂN HOANG RỪNG BỖNG THÊNH THANG, NGƯỜI ƠI THƯƠNG NHỚ AI RỪNG CÂY TRÚT LÁ.. RỪNG NHỚ CHÂN EM, RỪNG NHỚ MÔI EM, RỪNG NHỚ TÊN EM RỪNG ĐÃ YÊU EM, NGƯỜI ƠI TA BỖNG YÊU CUỘC SỐNG QUANH TA.. HỎI GIÓ TRÊN CÂY, HỎI LÁ TRONG TAY, RỪNG ĐÃ YÊU EM, RỪNG VẪN YÊU EM, NGƯỜI ƠI THƯƠNG NHỚ AI RỪNG CÂY TRÚT LÁ.. NÀY NẮNG TRONG MÂY NÀY CÁNH CHIM BAY, RỪNG ĐÃ YÊU EM, RỪNG VẪN YÊU EM, NGƯỜI ƠI TA BỖNG NGHE RỪNG HÁT TRONG TA"
61933,GIEO MƯA GẶP BÃO,55509,giọt mưa,DỐI TRÁ AI ĐÃ GIẾT MÒN BAO TRÁI TIM GIỜ ĐẾN LƯỢT TÔI...,"","ĐÊM THẬT DÀI NHỚ MẶT TRỜI, NUÔI MƠ ƯỚC NGÀY MAI NGÀN ĐAU CHÔN LẤP DƯỚI CHÂN TRỜI. ĐỂ LÁ NPN REO MƯA LẤP LÁNH, ĐẺ GIÓ VUỐT VE ĐỒNG LÚA XANH. THƯƠNG ĐỜI MỎNG MANH VÙI NÁT THÂN KIỀU KHÁT AN LÀNH. GIỌT MƯA QUA ĐÊM XANH, ĐỜI TA SAO MONG MANH. HƠ HƠ HƠ HƠ Ư Ư Ư Ư... MƯA! GIỌT MƯA CHƠI VƠI. RƠI RƠI VÀO ĐỜI. MƯA! GIỌT MƯA CHƠI VƠI RƠI RƠI MÙ KHƠI..."
66382,NGƯỜI NỮ CẢNH SÁT VỚI EM BÉ MỒ CÔI,51525,em về với người,TRÊN SÔNG VẮNG LỬA THUYỀN CÂU THẤP THOÁNG...,"","EM VỀ LÀ VỚI NGƯỜI, HẾT RỒI CÂU CHĂN GỐI. HẸN ƯỚC TRÒN ĐÔI, BÂY CHỪ RIÊNG MỘT MÌNH TÔI. MƠ NHIỀU VÀ ƯỚC NHIỀU, ĐỂ RỒI NHƯ MÂY KHÓI. TÌNH ĐÃ VỜI XA, XA VỜI TIẾC THƯƠNG CŨNG RỒI. ÔI XA CÁCH TỪ ĐÂY, ĐỚN ĐAU ĐAU ĐỚN NÀO AI HAY. XIN MIỄN SAO ĐỜI EM, ĐƯỢC VUI VỚI DUYÊN TINH AI. ANH KHÔNG TRÁCH GÌ ĐÂU, CÓ CHĂNG ANH TRÁCH ĐỜI RIÊNG ANH. KHÔNG GIỮ EM DÀI LÂU, ĐỂ EM LỠ DUYÊN TÌNH ĐẦU. EM VỀ LÀ VỚI NGƯỜI, ĐÃ VỘI QUÊN HAY NHỚ?. NGÀY ĐÓ CÒN NHAU, AI TỪNG MƠ MỘNG NGÀN SAU. BÂY CHỪ LÀ HẾT RỒI, EM VỀ VUI BÊN NỚ. NGƯỜI DO VÀ TÔI CHUNG TRỜI CÁCH NHAU MẤY ĐỜI..."
61105,CON YÊU MẸ,55587,con yêu mẹ,NGÀY XƯA KHI CÒN THƠ BÉ CON VẪN HAY ĐÒI MẸ KHÓC NHÈ...,"","MẸ ƠI CON YÊU MẸ NHƯ TRỜI, MÀ TRỜI QUÁ RỘNG VÀ LẠI QUÁ CAO...NÊN LÀM SAO CON TỚI, BIẾT THẾ NÀO MẸ ƠI.... TÍNH MẸ CỨ, HAY LÀ NHỚ . LÚC NÀO CŨNG, MUỐN BÊN CON . NẾU CÁI GÌ, GẦN CON NHẤT. CON YÊU MẸ, BẰNG CÁI ĐÓ.. À MẸ ƠI, CÓ CON DẾ TRONG BAO DIÊM, CỦA CON ĐÂY, MỞ RA LÀ, CON THẤY NGAY CON YÊU MẸ, BẰNG CON DẾ!"
65294,VẾT THƯƠNG L NG,57670,vết thương vô hình,HẾT CON ĐƯỜNG YÊU HẾT KHÚC NHẠC TÌNH CÒN ANH VỚI ANH...,"","ANH KHÔNG MONG TÌNH YÊU SẼ ĐẾN VỘI VÀNG. ĐỂ CHỈ CÓ ÍT PHÚT ẤM ÁP RỒI BAY ĐI MẤT. YÊU THƯƠNG SAO MONG MANH TỰA CÁNH HOA HỒNG. CÀNH HOA RƠI MANG THEO TẤT CẢ TÌNH YÊU. MỘT LẦN ĐÃ VỠ NÁT , MỘT LẦN ĐÃ CHẠY TRỐN. NGHE THEO ÂM THANH CỦA TRÁI TIM LẠC LỐI. MỘT LẦN YÊU VỘI VÃ , MỘT LẦN TRAO VỘI VÃ. CHO TA BAO NHIÊU NHỮNG ĐẮNG CAY. TÌM ĐÂU NHỮNG NGÀY XƯA. NGỌT NGÀO VÀ ĐẮM SAY. TRÁI TIM GIỜ ĐÂY KHÔ HÉO LẠC GIỮA CHỐN VÔ HÌNH. ĐỪNG XA NHAU NGƯỜI ƠI. ĐỪNG LẠNH LÙNG VỚI NHAU. VẾT THƯƠNG HẰN SÂU VÀO TIM BAO GIỜ PHAI ĐI"
60954,C GÁI MỞ ĐƯỜNG,51301,cô gái mở đường,ĐI DƯỚI TRỜI KHUYA SAO ĐÊM LẤP LÁNH TIẾNG HÁT AI...,"",ĐI GIỮA TRỜI KHUYA...THU SANG LÁ ÚA NGOÀI SONG ANH ƠI ĐÔNG QUA HOA LÁ TRỔ BÔNG LÂU RỒI MÌNH EM MỘT BÓNG XÓT HOA THƯƠNG MAU TÀN ĐÈN KHUYA NGỠ NGÀNG THUỞ ẤY NẾU ĐỪNG QUEN NHAU LỠ RỒI MỖI NGƯỜI MỘT LỐI THÌ ĐÂU XAO XUYẾN LÒNG TÔI SÔNG SÂU NGĂN CÁCH TÌNH NHAU KHÔNG GIAN BAO LA TÔI BIẾT TÌM ĐÂU XIN GỬI TÌNH TRÊN TRANG GIẤY CỐ NHÂN MONG NGÀY TA XUM VẦY  NẾU ĐẾM HẾT NHỮNG CÁNH SAO TRỜI BẰNG SAO TÌNH ANH VỚI TÔI ĐÃ YÊU THƯƠNG THÌ XIN ĐI CHUNG MỘT ĐƯỜNG CHUNG MỘT HƯỚNG XÓM CŨ VẪN NGÓNG TRÔNG ĐÊM NGÀY THÌ XIN NGƯỜI ƠI GHÉ ĐÂY HẾT U SẦU LÀ KHI DUYÊN TA TƯƠI MÀU SƯỞI ẤM LÒNG NHAU NGƯỜI HỠI HÃY VỀ CHO VUI ÁNH ĐÈN NHỚ NHAU THÌ ĐẾN TÌM NHAU NHƯ MÁU VỀ TIM PHƯƠNG NAM MUÔN SẮC NGHÌN HƯỚNG YÊU THƯƠNG BAO LA NHƯ NƯỚC ĐẠI DƯƠNG ĐÊM VỀ NHÌN SAO LẤP LÁNH NGẮM TRĂNG TREO TRÊN CÀNH CỦA HAI ĐỨA MÌNH ... !!!
60770,CHO EM LỜI CUỐI,51282,cho em lời cuối,NÓI MỘT LỜI LẦN CUỐI VỚI EM NGƯỜI ƠI SAO ANH YÊU...,"",NÓI MỘT LẦN LỜI CUỐI VỚI EM NGƯỜI ƠI SAO ANH YÊU QUAY GÓT XÓA TAN BAO GIẤC MỘNG NGÀY XƯA ĐÓ TÌNH NỒNG GIỜ ĐÃ MẤT ANH RỒI NGƯỜI YÊU HỠI VÌ SAO QUÊN HẾT CHUYỆN TÌNH XƯA KHÓC THẬT NHIỀU NGƯỜI CŨNG KHÔNG QUAY VỀ ĐÂY EM CÔ ĐƠN NGƠ NGÁC ANH KHÔNG CÂU GIÃ TỪ THÌ VƯƠNG VẤN LÀM GÌ NGƯỜI YÊU QUÁ VÔ TÌNH THÀ ANH NÓI CÙNG EM SAO MÌNH LÌA XA EM YÊU ANH YÊU ANH NỒNG ẤM NHƯNG NAY ĐÀNH QUÊN ĐI BAO ĐI BAO NGÀY THÁNG BÊN NHAU VÌ ĐÂU YÊU THƯƠNG KHI XƯA TRAO EM GIỜ DÀNH CHO NGƯỜI ẤY XIN CHO EM CHO EM LỜI CUỐI CHIA TAY RỒI TA XA NHAU XA NHAU DÙ TRÁI TIM EM CÒN ĐÂY BAO NHIÊU CÔ ĐƠN CÔ ĐƠN VÌ MÌNH MẤT NHAU TRONG ĐỜI NÓI MỘT LẦN LỜI CUỐI VỚI EM NGƯỜI ƠI SAO ANH YÊU QUAY GÓT XÓA TAN BAO GIẤC MỘNG NGÀY XƯA ĐÓ TÌNH NỒNG GIỜ ĐÃ MẤT ANH RỒI NGƯỜI YÊU HỠI VÌ SAO QUÊN HẾT CHUYỆN TÌNH XƯA KHÓC THẬT NHIỀU NGƯỜI CŨNG KHÔNG QUAY VỀ ĐÂY EM CÔ ĐƠN NGƠ NGÁC ANH KHÔNG CÂU GIÃ TỪ THÌ VƯƠNG VẤN LÀM GÌ NGƯỜI YÊU QUÁ VÔ TÌNH THÀ ANH NÓI CÙNG EM SAO MÌNH LÌA XA EM YÊU ANH YÊU ANH NỒNG ẤM NHƯNG NAY ĐÀNH QUÊN ĐI BAO ĐI BAO NGÀY THÁNG BÊN NHAU VÌ ĐÂU YÊU THƯƠNG KHI XƯA TRAO EM GIỜ DÀNH CHO NGƯỜI ẤY XIN CHO EM CHO EM LỜI CUỐI CHIA TAY RỒI TA XA NHAU XA NHAU DÙ TRÁI TIM EM CÒN ĐÂY BAO NHIÊU CÔ ĐƠN CÔ ĐƠN VÌ MÌNH MẤT NHAU TRONG ĐỜI EM YÊU ANH YÊU ANH NỒNG ẤM NHƯNG NAY ĐÀNH QUÊN ĐI BAO ĐI BAO NGÀY THÁNG BÊN NHAU VÌ ĐÂU YÊU THƯƠNG KHI XƯA TRAO EM GIỜ DÀNH CHO NGƯỜI ẤY XIN CHO EM CHO EM LỜI CUỐI CHIA TAY RỒI TA XA NHAU XA NHAU DÙ TRÁI TIM EM CÒN ĐÂY BAO NHIÊU CÔ ĐƠN CÔ ĐƠN VÌ MÌNH MẤT NHAU TRONG ĐỜI EM YÊU ANH YÊU ANH NỒNG ẤM NHƯNG NAY ĐÀNH QUÊN ĐI BAO ĐI BAO NGÀY THÁNG BÊN NHAU VÌ ĐÂU YÊU THƯƠNG KHI XƯA TRAO EM GIỜ DÀNH CHO NGƯỜI ẤY XIN CHO EM CHO EM LỜI CUỐI CHIA TAY RỒI TA XA NHAU XA NHAU DÙ TRÁI TIM EM CÒN ĐÂY BAO NHIÊU CÔ ĐƠN CÔ ĐƠN VÌ MÌNH MẤT NHAU TRONG ĐỜI.
62741,LỜI RU MỘT ĐỜI,51717,lời ru ngàn đời,NGÀY MẸ SINH RA CON TRÊN CUỘC ĐỜI NÀY...,"",TRÙNG TRÙNG QUÂN ĐI NGÀN DẶM . RỢP TRỜI CỜ BAY BỐN PHƯƠNG . QUÊ HƯƠNG TÔI MÀU XANH TÍT CHÂN TRỜI . CHIM ĐANG BAY VỀ TRÊN ĐẤT MẸ . NGÀN NĂM VIỆT NAM VỮNG BỀN . BẢN HÙNG CA ĐƯA NGƯỜI ĐI CHỐN XA . NGHE THÂN THƯƠNG TỪNG CÂU HÁT QUÊ NHÀ . EM GÁI TÔI CÒN CHỜ NGƯỜI ĐI XA. VIỆT NAM VIỆT NAM VIỆT NAM . BAO NGƯỜI ĐI ĐI MÃI KHÔNG VỀ . CHO TRẺ THƠ BÌNH YÊN BÊN GIẤC NGỦ SAY . VIỆT NAM VIỆT NAM VIỆT NAM . CHO LỜI RU THEO MÃI CHÂN NGƯỜI . ĐÊM TỪNG ĐÊM TRÔNG VỀ NƠI ẤY . THẤY BÓNG MẸ GIÀ CÒN ĐỨNG ĐỢI CON. QUÊ HƯƠNG ƠI LỜI RU NGÀN ĐỜI . VIỆT NAM ƠI LỜI RU NGÀN ĐỜI.
